date,time,pressure,pressure_setpoint,mfc1_,mfc2_,rh,rh_setpoint,temp,bias,current,max_iv_current,max_cv_current,cv_area,low_freq_z,note
2020-03-17_13-31-12,27.181,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-31-14,27.216,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-31-16,27.249,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-31-18,27.283,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-31-20,27.316,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-31-22,27.349,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-31-24,27.382,,,,,4.816,2.0,,,,,,,,cupcts
2020-03-17_13-31-26,27.416,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-31-28,27.449,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-31-30,27.482,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-31-32,27.516,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-31-34,27.549,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-31-36,27.583,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-31-38,27.616,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-31-40,27.649,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-31-42,27.682,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-31-44,27.715,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-31-46,27.749,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-31-48,27.782,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-31-50,27.817,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-31-52,27.849,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-31-54,27.883,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-31-56,27.916,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-31-58,27.95,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-32-00,27.983,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-32-02,28.016,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-32-04,28.049,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-32-06,28.083,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-32-08,28.116,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-32-10,28.15,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-32-12,28.183,,,,,5.113,2.0,,,,,,,,cupcts
2020-03-17_13-32-14,28.217,,,,,4.859,2.0,,,,,,,,cupcts
